Product Name,Status,Local Request Timestamp,Begin Trip Local Timestamp,Local Dropoff Timestamp,Trip Distance (miles),Duration (Seconds),Local Base Fare,Local Original Fare,Local Cancellation Fee,Currency Code
RIDESHARE,completed,2025-02-06T20:46:50.000Z,2025-02-06T20:58:08.000Z,2025-02-06T21:09:30.000Z,2.9727143958592257,682,0.1,12.01,0.0,USD
UberX,completed,2025-02-06T20:19:45.000Z,2025-02-06T20:24:52.000Z,2025-02-06T20:27:57.000Z,0.6452024938803071,185,0.1,8.94,0.0,USD
RIDESHARE,completed,2025-02-06T05:28:16.000Z,2025-02-06T05:32:39.000Z,2025-02-06T05:48:48.000Z,6.85759324265621,969,0.1,27.78,0.0,USD
UberX,completed,2025-02-06T05:07:09.000Z,2025-02-06T05:10:55.000Z,2025-02-06T05:24:17.000Z,4.842123319594323,802,0.1,20.91,0.0,USD
UberX,completed,2025-02-06T04:48:23.000Z,2025-02-06T04:59:39.000Z,2025-02-06T05:06:49.000Z,3.980266464640923,430,0.1,17.92,0.0,USD
UberX,completed,2025-02-06T04:37:10.000Z,2025-02-06T04:41:51.000Z,2025-02-06T04:46:51.000Z,1.3067676007329154,300,0.1,10.94,0.0,USD
UberX,completed,2025-02-06T03:08:20.000Z,2025-02-06T03:16:23.000Z,2025-02-06T03:34:11.000Z,8.3708505971928,1068,0.1,25.93,0.0,USD
UberX,completed,2025-02-06T02:36:07.000Z,2025-02-06T02:47:20.000Z,2025-02-06T03:08:32.000Z,20.317068916228592,1272,0.1,49.96,0.0,USD
UberX,completed,2025-02-05T23:49:12.000Z,2025-02-05T23:58:38.000Z,2025-02-06T00:08:31.000Z,4.618249197078162,593,0.1,18.56,0.0,USD
UberX,completed,2025-02-05T23:31:36.000Z,2025-02-05T23:33:29.000Z,2025-02-05T23:49:29.000Z,7.842422658986322,960,0.1,22.96,0.0,USD
UberX,completed,2025-02-05T22:31:19.000Z,2025-02-05T22:34:31.000Z,2025-02-05T22:47:19.000Z,5.427804229757439,768,0.1,21.9,0.0,USD
UberX,completed,2025-02-05T22:20:20.000Z,2025-02-05T22:26:14.000Z,2025-02-05T22:33:01.000Z,2.368925280587096,407,0.1,11.28,0.0,USD
UberX,completed,2025-02-05T21:56:38.000Z,2025-02-05T22:00:20.000Z,2025-02-05T22:17:48.000Z,12.001989685949138,1048,0.1,30.42,0.0,USD
UberX,completed,2025-02-05T21:46:26.000Z,2025-02-05T21:55:43.000Z,2025-02-05T21:57:00.000Z,0.33986254451271575,77,0.1,8.65,0.0,USD
UberX,completed,2025-02-05T21:23:37.000Z,2025-02-05T21:29:35.000Z,2025-02-05T21:36:33.000Z,3.3002656778266455,418,0.1,16.64,0.0,USD
Mid-Tier,completed,2025-02-05T20:43:52.000Z,2025-02-05T20:45:46.000Z,2025-02-05T20:56:49.000Z,2.641255501517207,663,0.11,22.12,0.0,USD
UberX,completed,2025-02-05T20:06:24.000Z,2025-02-05T20:10:01.000Z,2025-02-05T20:32:18.000Z,6.344355489054585,1337,0.1,34.54,0.0,USD
UberX,completed,2025-02-05T19:37:50.000Z,2025-02-05T19:41:34.000Z,2025-02-05T20:04:56.000Z,10.85454990588203,1402,0.1,39.96,0.0,USD
UberX,completed,2025-02-05T19:28:08.000Z,2025-02-05T19:31:32.000Z,2025-02-05T19:38:51.000Z,2.4206944908161523,439,0.1,11.97,0.0,USD
UberX,completed,2025-02-05T18:51:05.000Z,2025-02-05T18:57:19.000Z,2025-02-05T19:12:19.000Z,3.9733511526728305,900,0.1,23.97,0.0,USD
UberX,completed,2025-02-05T03:18:34.000Z,2025-02-05T03:27:12.000Z,2025-02-05T03:47:29.000Z,18.35842387003218,1217,0.1,46.95,0.0,USD
