Time,Subject,Content,Medium,Direction
2025-01-27 15:53:08,,"OK, got it!",push,out
2025-01-27 15:12:19,,"OK, got it!",push,out
2025-01-27 15:12:19,,"OK, got it!",intercom_text,out
2025-01-27 06:27:35,,"OK, got it!",push,out
2025-01-27 06:27:35,,"OK, got it!",intercom_text,out
2025-01-27 06:27:31,,They took me to alley,intercom_text,out
2025-01-27 06:27:31,,They took me to alley,push,out
2025-01-27 06:27:24,,Are you at wells fargo?,intercom_text,out
2025-01-27 06:27:24,,Are you at wells fargo?,push,out
2025-01-26 10:36:44,,I've arrived,push,out
2025-01-26 10:36:44,,I've arrived,intercom_text,out
2025-01-25 03:15:20,,"OK, got it!",intercom_text,out
2025-01-25 03:15:20,,"OK, got it!",push,out
2025-01-24 14:19:28,,No thank you,intercom_text,out
2025-01-24 14:17:30,,Thanks,intercom_text,out
2025-01-24 14:15:09,,"Hello, why is my instant cashoit not available?",intercom_text,out
2025-01-24 14:14:58,,Attachment - 1 Image,intercom_text,out
2025-01-24 10:58:35,,"OK, got it!",intercom_text,out
2025-01-24 10:58:35,,"OK, got it!",push,out
2025-01-24 10:03:45,,I've arrived,push,out
2025-01-24 10:03:45,,I've arrived,intercom_text,out
2025-01-24 09:49:52,,Got it,intercom_text,out
2025-01-24 09:49:52,,Got it,push,out
2025-01-24 08:31:06,,I've arrived,intercom_text,out
2025-01-24 08:31:06,,I've arrived,push,out
2025-01-22 07:13:49,,On outer sections,intercom_text,out
2025-01-22 07:13:49,,On outer sections,push,out
2025-01-22 07:13:38,,Im out front,intercom_text,out
2025-01-22 07:13:38,,Im out front,push,out
2025-01-20 14:38:44,,"OK, got it!",intercom_text,out
2025-01-20 14:38:44,,"OK, got it!",push,out
2025-01-20 14:37:49,,Im at second gate,push,out
2025-01-20 14:37:49,,Im at second gate,intercom_text,out
2025-01-20 11:29:23,,I've arrived,push,out
2025-01-20 11:29:23,,I've arrived,intercom_text,out
2025-01-20 10:18:18,,"OK, got it!",push,out
2025-01-20 10:18:18,,"OK, got it!",intercom_text,out
2025-01-20 10:17:15,,I've arrived,intercom_text,out
2025-01-20 10:17:15,,I've arrived,push,out
2025-01-20 09:59:33,,I've arrived,push,out
2025-01-20 09:59:33,,I've arrived,intercom_text,out
2025-01-20 09:40:17,,I've arrived,push,out
2025-01-20 09:40:17,,I've arrived,intercom_text,out
2025-01-20 08:00:32,,Blue car,push,out
2025-01-20 08:00:32,,Blue car,intercom_text,out
2025-01-20 08:00:26,,Im here,push,out
2025-01-18 14:32:02,,Yes,sms,in
2025-01-18 10:26:27,,"OK, got it!",intercom_text,out
2025-01-18 10:26:27,,"OK, got it!",push,out
2025-01-18 09:41:57,,"OK, got it!",push,out
2025-01-18 09:41:57,,"OK, got it!",intercom_text,out
2025-01-18 09:08:21,,I’m on the corner on sunset,push,out
2025-01-18 09:08:21,,I’m on the corner on sunset,intercom_text,out
2025-01-18 09:07:41,,"OK, got it!",push,out
2025-01-18 09:07:41,,"OK, got it!",intercom_text,out
2025-01-17 09:48:02,,I'm on my way,intercom_text,out
2025-01-17 09:48:02,,I'm on my way,push,out
2025-01-15 10:24:53,,You couldnt hear me,intercom_text,out
2025-01-15 10:24:53,,You couldnt hear me,push,out
2025-01-15 10:24:48,,I was talking to you on the phone,intercom_text,out
2025-01-15 10:24:48,,I was talking to you on the phone,push,out
2025-01-15 10:24:41,,Im out front,intercom_text,out
2025-01-15 10:24:41,,Im out front,push,out
2025-01-15 10:22:47,,I've arrived,push,out
2025-01-15 10:22:47,,I've arrived,intercom_text,out
2025-01-15 09:50:26,,"OK, got it!",push,out
2025-01-15 09:50:26,,"OK, got it!",intercom_text,out
2025-01-15 07:11:39,,"OK, got it!",intercom_text,out
2025-01-15 07:11:39,,"OK, got it!",push,out
2025-01-15 03:10:17,,Right out front,intercom_text,out
2025-01-15 03:10:17,,Right out front,push,out
2025-01-15 03:10:10,,I've arrived,push,out
2025-01-15 03:10:10,,I've arrived,intercom_text,out
2025-01-14 09:53:38,,"OK, got it!",intercom_text,out
2025-01-14 09:53:38,,"OK, got it!",push,out
2025-01-14 09:46:53,,I’ve arrived,push,out
2025-01-14 09:46:53,,I’ve arrived,intercom_text,out
2025-01-14 09:38:49,,Yeah they gave me a chocolate milk instead and hurried me throgh- i didn’t check until after I left now theres 2 people in line in front of me so it might be a minute,intercom_text,out
2025-01-14 09:38:49,,Yeah they gave me a chocolate milk instead and hurried me throgh- i didn’t check until after I left now theres 2 people in line in front of me so it might be a minute,push,out
2025-01-14 09:34:57,,Sorry they didn’t give me the Sprite. I have to go back.,push,out
2025-01-14 09:34:57,,Sorry they didn’t give me the Sprite. I have to go back.,intercom_text,out
2025-01-14 09:08:21,,I've arrived,push,out
2025-01-14 09:08:21,,I've arrived,intercom_text,out
2025-01-13 06:35:15,,I've arrived,intercom_text,out
2025-01-13 06:35:15,,I've arrived,push,out
2025-01-13 05:22:10,,I've arrived,push,out
2025-01-13 05:22:10,,I've arrived,intercom_text,out
2025-01-12 13:36:55,,"OK, got it!",push,out
2025-01-12 13:36:55,,"OK, got it!",intercom_text,out
2025-01-12 10:15:27,,I've arrived,intercom_text,out
2025-01-12 10:15:27,,I've arrived,push,out
2025-01-12 07:55:31,,"OK, got it!",intercom_text,out
2025-01-12 07:55:31,,"OK, got it!",push,out
2025-01-12 04:47:06,,I'm on my way,intercom_text,out
2025-01-12 04:47:06,,I'm on my way,push,out
2025-01-12 04:47:05,,Ok. i’m on the corner now,push,out
2025-01-12 04:47:05,,Ok. i’m on the corner now,intercom_text,out
2025-01-12 04:45:37,,Blue car,intercom_text,out
2025-01-12 04:45:37,,Blue car,push,out
2025-01-12 04:45:27,,Im on the cornwr,intercom_text,out
2025-01-12 04:45:27,,Im on the cornwr,push,out
2025-01-11 15:15:54,,"OK, got it!",push,out
2025-01-11 15:15:54,,"OK, got it!",intercom_text,out
2025-01-11 06:54:39,,"OK, got it!",intercom_text,out
2025-01-11 06:54:39,,"OK, got it!",push,out
2025-01-07 10:34:14,,Ill come back,push,out
2025-01-07 10:34:14,,Ill come back,intercom_text,out
2025-01-07 10:34:11,,Im at main entrance,intercom_text,out
2025-01-07 10:34:11,,Im at main entrance,push,out
2025-01-07 10:34:02,,Wait,intercom_text,out
2025-01-07 10:34:02,,Wait,push,out
2025-01-07 10:33:21,,I’m here,intercom_text,out
2025-01-07 10:33:21,,I’m here,push,out
2025-01-07 10:29:44,,"OK, got it!",intercom_text,out
2025-01-07 10:29:44,,"OK, got it!",push,out
2025-01-07 10:28:47,,"Ok, thank you be there soon",push,out
2025-01-07 10:28:47,,"Ok, thank you be there soon",intercom_text,out
2025-01-07 09:28:09,,Just filling up gas,push,out
2025-01-07 09:28:09,,Just filling up gas,intercom_text,out
2025-01-07 09:28:01,,I'm on my way,intercom_text,out
2025-01-07 09:28:01,,I'm on my way,push,out
2025-01-07 08:54:57,,"OK, got it!",push,out
2025-01-07 08:54:57,,"OK, got it!",intercom_text,out
2025-01-07 08:30:14,,I'm on my way,push,out
2025-01-07 08:30:13,,I'm on my way,intercom_text,out
2025-01-07 06:06:29,,On mansfield,intercom_text,out
2025-01-07 06:06:29,,On mansfield,push,out
2025-01-07 06:06:24,,Blue car,intercom_text,out
2025-01-07 06:06:24,,Blue car,push,out
2025-01-07 06:06:21,,Yes,push,out
2025-01-07 06:06:21,,Yes,intercom_text,out
2025-01-07 06:04:14,,"OK, got it!",push,out
2025-01-07 06:04:14,,"OK, got it!",intercom_text,out
2025-01-05 12:38:27,,Take your time,push,out
2025-01-05 12:38:27,,Take your time,intercom_text,out
2025-01-05 12:38:23,,I've arrived,push,out
2025-01-05 12:38:23,,I've arrived,intercom_text,out
2025-01-03 13:03:21,,😔,intercom_text,out
2025-01-03 13:03:09,,No thanks,intercom_text,out
2025-01-03 13:02:43,,Ok,intercom_text,out
2025-01-03 13:02:15,,Yes,intercom_text,out
2025-01-03 13:01:50,,Thank you,intercom_text,out
2025-01-03 13:01:38,,That’s ok.,intercom_text,out
2025-01-03 12:59:19,,Yes,intercom_text,out
2025-01-03 12:57:34,,I was wondering when my payment for healthcare subsidy for last quarter would show up?,intercom_text,out
2025-01-03 11:18:08,,I've arrived,push,out
2025-01-03 11:18:07,,I've arrived,intercom_text,out
2025-01-03 05:41:59,,I've arrived,intercom_text,out
2025-01-03 05:41:59,,I've arrived,push,out
2025-01-02 10:43:47,,Thank you!,intercom_text,out
2025-01-02 10:43:47,,Thank you!,push,out
2025-01-02 10:43:41,,I'm on my way,intercom_text,out
2025-01-02 10:43:41,,I'm on my way,push,out
2025-01-02 10:41:11,,Just at the gas station getting gas,push,out
2025-01-02 10:41:11,,Just at the gas station getting gas,intercom_text,out
2025-01-02 08:22:52,,"OK, got it!",push,out
2025-01-02 08:22:52,,"OK, got it!",intercom_text,out
2025-01-01 06:32:55,,Be right there,push,out
2025-01-01 06:32:55,,Be right there,intercom_text,out
2024-12-29 14:15:54,,Be right there,push,out
2024-12-29 14:15:54,,Be right there,intercom_text,out
2024-12-23 23:02:40,,No worries,push,out
2024-12-23 23:02:40,,No worries,intercom_text,out
2024-12-22 11:30:45,,"OK, got it!",push,out
2024-12-22 11:30:45,,"OK, got it!",intercom_text,out
2024-12-22 11:27:00,,I've arrived,push,out
