Event Time (UTC),GPS Time (UTC),Horizontal Accuracy,Latitude,Longitude,Speed (GPS),City,Cellular Carrier,Carrier MCC,Carrier MNC,Google Play Services Status,Device ID,IP Address,Device Language,Device Model,Device OS,Device OS Version,Region,Session Start Time (UTC),Analytics Event Type
2025-01-18 06:24:07.318,2025-01-18 06:24:14.605,5.0,34.05529,-118.38613,0.0,los_angeles,--,65535,65535,,0FC33072-C272-4011-9ADF-376EEE78CF04,,en_US,"iPhone17,2",ios,18.2.1,US,2025-01-18 06:24:05.224,impression
2025-01-18 06:24:07.320,2025-01-18 06:24:14.605,5.0,34.05529,-118.38613,0.0,los_angeles,--,65535,65535,,0FC33072-C272-4011-9ADF-376EEE78CF04,,en_US,"iPhone17,2",ios,18.2.1,US,2025-01-18 06:24:05.224,impression
2025-01-18 06:24:07.322,2025-01-18 06:24:14.605,5.0,34.05529,-118.38613,0.0,los_angeles,--,65535,65535,,0FC33072-C272-4011-9ADF-376EEE78CF04,,en_US,"iPhone17,2",ios,18.2.1,US,2025-01-18 06:24:05.224,impression
2025-01-18 06:24:07.324,2025-01-18 06:24:14.605,5.0,34.05529,-118.38613,0.0,los_angeles,--,65535,65535,,0FC33072-C272-4011-9ADF-376EEE78CF04,,en_US,"iPhone17,2",ios,18.2.1,US,2025-01-18 06:24:05.224,impression
2025-01-18 06:24:07.323,2025-01-18 06:24:14.605,5.0,34.05529,-118.38613,0.0,los_angeles,--,65535,65535,,0FC33072-C272-4011-9ADF-376EEE78CF04,,en_US,"iPhone17,2",ios,18.2.1,US,2025-01-18 06:24:05.224,impression
2025-01-18 06:24:07.332,2025-01-18 06:24:14.605,5.0,34.05529,-118.38613,0.0,los_angeles,--,65535,65535,,0FC33072-C272-4011-9ADF-376EEE78CF04,,en_US,"iPhone17,2",ios,18.2.1,US,2025-01-18 06:24:05.224,impression
2025-01-18 06:24:09.096,2025-01-18 06:24:16.595,5.0,34.05529,-118.38613,0.0,los_angeles,--,65535,65535,,0FC33072-C272-4011-9ADF-376EEE78CF04,,en_US,"iPhone17,2",ios,18.2.1,US,2025-01-18 06:24:05.224,custom
2025-01-18 06:24:09.286,2025-01-18 06:24:17.613,5.0,34.05529,-118.38613,0.0,los_angeles,--,65535,65535,,0FC33072-C272-4011-9ADF-376EEE78CF04,,en_US,"iPhone17,2",ios,18.2.1,US,2025-01-18 06:24:05.224,impression
2025-01-18 06:24:09.991,2025-01-18 06:24:18.615,5.0,34.05529,-118.38613,0.0,los_angeles,--,65535,65535,,0FC33072-C272-4011-9ADF-376EEE78CF04,,en_US,"iPhone17,2",ios,18.2.1,US,2025-01-18 06:24:05.224,impression
2025-01-18 06:24:09.320,2025-01-18 06:24:17.613,5.0,34.05529,-118.38613,0.0,los_angeles,--,65535,65535,,0FC33072-C272-4011-9ADF-376EEE78CF04,,en_US,"iPhone17,2",ios,18.2.1,US,2025-01-18 06:24:05.224,custom
2025-01-18 06:24:11.624,2025-01-18 06:24:20.595,5.0,34.05529,-118.38613,0.0,los_angeles,--,65535,65535,,0FC33072-C272-4011-9ADF-376EEE78CF04,,en_US,"iPhone17,2",ios,18.2.1,US,2025-01-18 06:24:05.224,impression
2025-01-18 06:24:10.944,2025-01-18 06:24:19.610,5.0,34.05529,-118.38613,0.0,los_angeles,--,65535,65535,,0FC33072-C272-4011-9ADF-376EEE78CF04,,en_US,"iPhone17,2",ios,18.2.1,US,2025-01-18 06:24:05.224,custom
